#geneSymbol	psi_min	psi_max	EC50	slope	study_D_quad_13	study_D_quad_14	study_D_quad_15	study_D_quad_16	study_D_quad_17	study_D_quad_18	study_D_quad_19	study_D_quad_20	study_D_quad_1	study_D_quad_2	study_D_quad_3	study_D_quad_4	study_D_quad_5	study_D_quad_6	study_D_quad_7	study_D_quad_8	study_D_quad_9	study_D_quad_10	study_D_quad_11	study_D_quad_12	study_D_quad_21	study_D_quad_22	study_D_quad_23	study_D_quad_24	Study_E_Quad_Total_1	Study_E_Quad_Total_2	Study_E_Quad_Total_3	Study_E_Quad_Total_4	Study_E_Quad_Total_5	Study_E_Quad_Total_6	Study_E_Quad_Total_7	Study_E_Quad_Total_8	Study_E_Quad_Total_9	Study_E_Quad_Total_10	Study_E_Quad_Nascent_1	Study_E_Quad_Nascent_2	Study_E_Quad_Nascent_3	Study_E_Quad_Nascent_4	Study_E_Quad_Nascent_5	Study_E_Quad_Nascent_6	Study_E_Quad_Nascent_7	Study_E_Quad_Nascent_8	Study_E_Quad_Nascent_9	Study_E_Quad_Nascent_10
#Group					FVB	FVB	FVB	FVB	HSALR	HSALR	HSALR	HSALR	1_day	1_day	1_day	1_day	2_days	2_days	2_days	2_days	4_days	4_days	4_days	4_days	7_days	7_days	7_days	7_days	1_day_T	1_day_T	1_day_T	2_days_T	2_days_T	2_days_T	HSALR	HSALR	HSALR	HSALR	1_day_N	1_day_N	1_day_N	2_days_N	2_days_N	2_days_N	HSALR_N	HSALR_N	HSALR_N	HSALR_N
Map3k4	0.03	0.73	0.42	-1.89	0.157	0.158	0.157	0.089	0.302	0.392	0.412	0.439	0.372	0.153	0.243	0.246	0.295	0.208	0.1	0.115	0.166	0.108	0.127	0.122	0.108	0.112	0.097	0.11	0.195	0.259	0.281	0.163	0.14	0.163	0.417	0.254	0.441	0.357	0.135	0.281	0.193	0.135	0.107	0	0.476	0.698	0.428	0.388
Mbnl1	0.02	0.66	0.46	-2.3	0.089	0.08	0.02	0.073	0.423	0.267	0.436	0.462	0.306	0.217	0.433	0.278	0.184	0.216	0.141	0.148	0.178	0.115	0.223	0.126	0.171	0.18	0.179	0.135	0.267	0.333	0.258	0.142	0.199	0.255	0.522	0.41	0.503	0.437	0.183	0.261	0.202	0.145	0.193	0.184	0.485	0.39	0.391	0.348
Mbnl2	0.04	0.41	0.23	-1.78	0.194	0.171	0.11	0.123	0.394	0.237	0.341	0.315	0.28	0.334	0.353	0.29	0.309	0.326	0.258	0.245	0.341	0.144	0.281	0.206	0.258	0.24	0.303	0.232	0.164	0.247	0.206	0.142	0.158	0.136	0.252	0.258	0.274	0.232	0.09	0.12	0.131	0.098	0.112	0.205	0.241	0.166	0.238	0.212
Mpdz	0.17	0.97	0.42	-2.38	0.258	0.248	0.175	0.221	0.552	0.407	0.602	0.677	0.485	0.372	0.672	0.303	0.311	0.345	0.375	0.248	0.277	0.132	0.328	0.312	0.508	0.427	0.517	0.436	0.404	0.652	0.421	0.263	0.318	0.504	0.732	0.577	0.762	0.563	0.49	0.376	0.407	0.279	0.251	0.54	0.625	0.458	0.753	0.615
Neb	0.17	0.99	0.71	-3.58	0.457	0.489	0.628	0.37	0.98	0.993	0.982	0.984	0.968	0.97	0.965	0.962	0.938	0.966	0.943	0.945	0.851	0.852	0.866	0.853	0.816	0.81	0.75	0.773	0.983	0.95	0.991	0.945	0.944	0.895	0.968	0.976	0.985	0.988	0.915	0.906	0.949	0.88	0.819	0.707	0.915	0.936	0.966	0.965
Nfix	0.17	0.99	0.5	-2.26	0.251	0.262	0.26	0.217	0.637	0.535	0.627	0.696	0.501	0.464	0.605	0.449	0.419	0.483	0.342	0.353	0.39	0.349	0.351	0.289	0.374	0.341	0.319	0.347	0.506	0.599	0.526	0.371	0.438	0.479	0.762	0.615	0.72	0.688	0.343	0.471	0.429	0.282	0.396	0.506	0.713	0.612	0.695	0.66
Opa1	0.06	0.5	0.6	1.5	0.4	0.389	0.619	0.472	0.311	0.367	0.194	0.245	0.386	0.362	0.233	0.302	0.345	0.332	0.362	0.439	0.338	0.473	0.434	0.403	0.408	0.324	0.314	0.444	0.346	0.231	0.213	0.31	0.318	0.285	0.205	0.262	0.17	0.235	0.341	0.394	0.279	0.304	0.406	0	0.214	0.377	0.161	0.225
Phactr4	0.12	0.97	0.46	1.95	0.517	0.568	0.688	0.654	0.065	0.592	0.37	0.345	0.633	0.688	0.515	0.563	0.511	0.572	0.356	0.635	0.786	0.607	0.833	0.374	0.716	0.869	0.55	0.665	0.536	0.723	0.598	0.385	0.513	0.605	0.392	0.566	0.369	0.399	0.588	0.861	0.726	0.829	0.536	0.802	0.38	0.453	0.568	0.259
Phka1	0.02	0.7	0.79	2.53	0.684	0.678	0.668	0.667	0.15	0.123	0.117	0.132	0.187	0.194	0.151	0.2	0.23	0.185	0.237	0.243	0.307	0.36	0.311	0.321	0.519	0.512	0.571	0.497	0.153	0.299	0.126	0.219	0.245	0.348	0.178	0.18	0.159	0.141	0.279	0.325	0.198	0.348	0.413	0.532	0.341	0.271	0.194	0.25
Ppp1r12b	0.02	0.93	0.5	2.37	0.883	0.925	0.809	0.907	0.678	0.737	0.673	0.581	0.768	0.822	0.607	0.771	0.873	0.783	0.866	0.839	0.786	0.899	0.877	0.925	0.818	0.879	0.896	0.915	0.707	0.686	0.732	0.835	0.791	0.793	0.474	0.545	0.42	0.496	0.729	0.709	0.696	0.753	0.777	0.769	0.362	0.443	0.435	0.482
Ppp3cc	0.03	0.85	0.59	1.79	0.669	0.676	0.703	0.768	0.237	0.302	0.255	0.195	0.269	0.572	0.106	0.341	0.414	0.237	0.47	0.341	0.461	0.506	0.366	0.636	0.481	0.317	0.428	0.499	0.462	0.182	0.379	0.414	0.472	0.576	0.198	0.249	0.161	0.279	0.456	0.643	0.712	1	0.496	NA	0.247	0	0.677	0.101
Rapgef1	0.01	0.73	0.72	1.98	0.561	0.53	0.722	0.532	0.154	0.246	0.182	0.146	0.23	0.3	0.115	0.333	0.3	0.33	0.342	0.443	0.343	0.464	0.409	0.539	0.422	0.575	0.367	0.602	0.272	0.242	0.262	0.366	0.327	0.286	0.172	0.232	0.139	0.157	0.24	0.2	0.314	0.385	0.214	0.188	0.036	0.138	0.08	0.072
Ryr1	0.02	0.85	0.73	2.4	0.553	0.684	0.562	0.686	0.187	0.212	0.189	0.146	0.208	0.236	0.144	0.165	0.151	0.225	0.33	0.237	0.33	0.37	0.324	0.507	0.499	0.56	0.512	0.528	0.032	0.04	0.038	0.099	0.07	0.122	0.041	0.049	0.022	0.028	0.055	0.115	0.071	0.079	0.072	0.219	0.031	0.06	0.043	0.047
Slc8a3	0.19	0.99	0.45	2.61	0.809	0.806	NA	1	0.286	0.579	0.415	0.371	0.607	0.629	0.307	0.533	0.629	0.401	0.772	0.538	0.86	0.951	0.809	0.846	0.836	0.894	0.878	0.935	0.653	0.664	0.809	0.592	0.813	0.748	0.181	0.371	0.156	0.391	0.59	0.716	0.776	0.721	0.734	0.637	0.112	0.313	0.254	0.383
Tnik	0.3	0.99	0.49	3.06	0.781	0.954	0.456	0.809	0.605	0.81	0.374	0.407	0.744	0.672	0.256	0.825	0.868	0.664	0.747	0.711	0.813	1	0.903	0.802	0.813	0.736	0.929	0.86	0.63	0.817	0.72	0.896	0.613	0.633	0.269	0.51	0.325	0.438	0.506	0.745	0.787	0.903	0.77	1	0.174	0.299	0.289	0.354
Trappc9	0.01	0.87	0.59	2.59	0.498	0.559	1	0.568	0.096	0.267	0.195	0.188	0.132	0.315	0.066	0.252	0.461	0.282	0.421	0.348	0.459	0.601	0.475	0.546	0.59	0.492	0.426	0.651	0.305	0.125	0.218	0.387	0.334	0.444	0.08	0.171	0.094	0.168	0.398	0.53	0.452	0.724	0.452	NA	0.058	0.331	0	0.524
Trim55	0.1	0.97	0.63	3.8	0.936	0.976	0.928	0.965	0.661	0.869	0.624	0.589	0.833	0.892	0.637	0.862	0.892	0.903	0.926	0.903	0.919	0.958	0.889	1	0.886	0.856	0.902	0.977	0.831	0.768	0.693	0.945	0.887	0.76	0.496	0.604	0.533	0.553	0.935	0.97	0.823	0.914	0.931	0.9	0.67	0.746	0.645	0.727
Ttn	0.18	0.99	0.66	-3.31	0.523	0.531	0.635	0.492	0.967	0.964	0.975	0.964	0.943	0.939	0.949	0.928	0.848	0.902	0.885	0.883	0.743	0.776	0.791	0.804	0.736	0.75	0.634	0.691	0.927	0.94	0.94	0.851	0.858	0.817	0.945	0.941	0.953	0.953	0.686	0.82	0.763	0.652	0.661	0.497	0.851	0.857	0.835	0.828
Vps39	0.01	0.78	0.49	2.36	0.291	0.645	1	0.643	0.53	0.418	0.21	0.261	0.342	0.429	0.492	0.573	0.62	0.525	0.777	0.474	0.775	0.575	0.645	0.812	0.303	0.736	0.646	0.573	0.653	0.543	0.658	0.631	0.429	0.653	0.196	0.331	0.171	0.504	0.725	0.661	0.476	0.643	1	1	0.382	0.127	0.482	0.601
